user_id,stage,conversion
user_0,homepage,True
user_1,homepage,True
user_2,homepage,True
user_3,homepage,True
user_4,homepage,True
user_5,homepage,True
user_6,homepage,True
user_7,homepage,True
user_8,homepage,True
user_9,homepage,True
user_10,homepage,True
user_11,homepage,True
user_12,homepage,True
user_13,homepage,True
user_14,homepage,True
user_15,homepage,True
user_16,homepage,True
user_17,homepage,True
user_18,homepage,True
user_19,homepage,True
user_20,homepage,True
user_21,homepage,True
user_22,homepage,True
user_23,homepage,True
user_24,homepage,True
user_25,homepage,True
user_26,homepage,True
user_27,homepage,True
user_28,homepage,True
user_29,homepage,True
user_30,homepage,True
user_31,homepage,True
user_32,homepage,True
user_33,homepage,True
user_34,homepage,True
user_35,homepage,True
user_36,homepage,True
user_37,homepage,True
user_38,homepage,True
user_39,homepage,True
user_40,homepage,True
user_41,homepage,True
user_42,homepage,True
user_43,homepage,True
user_44,homepage,True
user_45,homepage,True
user_46,homepage,True
user_47,homepage,True
user_48,homepage,True
user_49,homepage,True
user_50,homepage,True
user_51,homepage,True
user_52,homepage,True
user_53,homepage,True
user_54,homepage,True
user_55,homepage,True
user_56,homepage,True
user_57,homepage,True
user_58,homepage,True
user_59,homepage,True
user_60,homepage,True
user_61,homepage,True
user_62,homepage,True
user_63,homepage,True
user_64,homepage,True
user_65,homepage,True
user_66,homepage,True
user_67,homepage,True
user_68,homepage,True
user_69,homepage,True
user_70,homepage,True
user_71,homepage,True
user_72,homepage,True
user_73,homepage,True
user_74,homepage,True
user_75,homepage,True
user_76,homepage,True
user_77,homepage,True
user_78,homepage,True
user_79,homepage,True
user_80,homepage,True
user_81,homepage,True
user_82,homepage,True
user_83,homepage,True
user_84,homepage,True
user_85,homepage,True
user_86,homepage,True
user_87,homepage,True
user_88,homepage,True
user_89,homepage,True
user_90,homepage,True
user_91,homepage,True
user_92,homepage,True
user_93,homepage,True
user_94,homepage,True
user_95,homepage,True
user_96,homepage,True
user_97,homepage,True
user_98,homepage,True
user_99,homepage,True
user_100,homepage,True
user_101,homepage,True
user_102,homepage,True
user_103,homepage,True
user_104,homepage,True
user_105,homepage,True
user_106,homepage,True
user_107,homepage,True
user_108,homepage,True
user_109,homepage,True
user_110,homepage,True
user_111,homepage,True
user_112,homepage,True
user_113,homepage,True
user_114,homepage,True
user_115,homepage,True
user_116,homepage,True
user_117,homepage,True
user_118,homepage,True
user_119,homepage,True
user_120,homepage,True
user_121,homepage,True
user_122,homepage,True
user_123,homepage,True
user_124,homepage,True
user_125,homepage,True
user_126,homepage,True
user_127,homepage,True
user_128,homepage,True
user_129,homepage,True
user_130,homepage,True
user_131,homepage,True
user_132,homepage,True
user_133,homepage,True
user_134,homepage,True
user_135,homepage,True
user_136,homepage,True
user_137,homepage,True
user_138,homepage,True
user_139,homepage,True
user_140,homepage,True
user_141,homepage,True
user_142,homepage,True
user_143,homepage,True
user_144,homepage,True
user_145,homepage,True
user_146,homepage,True
user_147,homepage,True
user_148,homepage,True
user_149,homepage,True
user_150,homepage,True
user_151,homepage,True
user_152,homepage,True
user_153,homepage,True
user_154,homepage,True
user_155,homepage,True
user_156,homepage,True
user_157,homepage,True
user_158,homepage,True
user_159,homepage,True
user_160,homepage,True
user_161,homepage,True
user_162,homepage,True
user_163,homepage,True
user_164,homepage,True
user_165,homepage,True
user_166,homepage,True
user_167,homepage,True
user_168,homepage,True
user_169,homepage,True
user_170,homepage,True
user_171,homepage,True
user_172,homepage,True
user_173,homepage,True
user_174,homepage,True
user_175,homepage,True
user_176,homepage,True
user_177,homepage,True
user_178,homepage,True
user_179,homepage,True
user_180,homepage,True
user_181,homepage,True
user_182,homepage,True
user_183,homepage,True
user_184,homepage,True
user_185,homepage,True
user_186,homepage,True
user_187,homepage,True
user_188,homepage,True
user_189,homepage,True
user_190,homepage,True
user_191,homepage,True
user_192,homepage,True
user_193,homepage,True
user_194,homepage,True
user_195,homepage,True
user_196,homepage,True
user_197,homepage,True
user_198,homepage,True
user_199,homepage,True
user_200,homepage,True
user_201,homepage,True
user_202,homepage,True
user_203,homepage,True
user_204,homepage,True
user_205,homepage,True
user_206,homepage,True
user_207,homepage,True
user_208,homepage,True
user_209,homepage,True
user_210,homepage,True
user_211,homepage,True
user_212,homepage,True
user_213,homepage,True
user_214,homepage,True
user_215,homepage,True
user_216,homepage,True
user_217,homepage,True
user_218,homepage,True
user_219,homepage,True
user_220,homepage,True
user_221,homepage,True
user_222,homepage,True
user_223,homepage,True
user_224,homepage,True
user_225,homepage,True
user_226,homepage,True
user_227,homepage,True
user_228,homepage,True
user_229,homepage,True
user_230,homepage,True
user_231,homepage,True
user_232,homepage,True
user_233,homepage,True
user_234,homepage,True
user_235,homepage,True
user_236,homepage,True
user_237,homepage,True
user_238,homepage,True
user_239,homepage,True
user_240,homepage,True
user_241,homepage,True
user_242,homepage,True
user_243,homepage,True
user_244,homepage,True
user_245,homepage,True
user_246,homepage,True
user_247,homepage,True
user_248,homepage,True
user_249,homepage,True
user_250,homepage,True
user_251,homepage,True
user_252,homepage,True
user_253,homepage,True
user_254,homepage,True
user_255,homepage,True
user_256,homepage,True
user_257,homepage,True
user_258,homepage,True
user_259,homepage,True
user_260,homepage,True
user_261,homepage,True
user_262,homepage,True
user_263,homepage,True
user_264,homepage,True
user_265,homepage,True
user_266,homepage,True
user_267,homepage,True
user_268,homepage,True
user_269,homepage,True
user_270,homepage,True
user_271,homepage,True
user_272,homepage,True
user_273,homepage,True
user_274,homepage,True
user_275,homepage,True
user_276,homepage,True
user_277,homepage,True
user_278,homepage,True
user_279,homepage,True
user_280,homepage,True
user_281,homepage,True
user_282,homepage,True
user_283,homepage,True
user_284,homepage,True
user_285,homepage,True
user_286,homepage,True
user_287,homepage,True
user_288,homepage,True
user_289,homepage,True
user_290,homepage,True
user_291,homepage,True
user_292,homepage,True
user_293,homepage,True
user_294,homepage,True
user_295,homepage,True
user_296,homepage,True
user_297,homepage,True
user_298,homepage,True
user_299,homepage,True
user_300,homepage,True
user_301,homepage,True
user_302,homepage,True
user_303,homepage,True
user_304,homepage,True
user_305,homepage,True
user_306,homepage,True
user_307,homepage,True
user_308,homepage,True
user_309,homepage,True
user_310,homepage,True
user_311,homepage,True
user_312,homepage,True
user_313,homepage,True
user_314,homepage,True
user_315,homepage,True
user_316,homepage,True
user_317,homepage,True
user_318,homepage,True
user_319,homepage,True
user_320,homepage,True
user_321,homepage,True
user_322,homepage,True
user_323,homepage,True
user_324,homepage,True
user_325,homepage,True
user_326,homepage,True
user_327,homepage,True
user_328,homepage,True
user_329,homepage,True
user_330,homepage,True
user_331,homepage,True
user_332,homepage,True
user_333,homepage,True
user_334,homepage,True
user_335,homepage,True
user_336,homepage,True
user_337,homepage,True
user_338,homepage,True
user_339,homepage,True
user_340,homepage,True
user_341,homepage,True
user_342,homepage,True
user_343,homepage,True
user_344,homepage,True
user_345,homepage,True
user_346,homepage,True
user_347,homepage,True
user_348,homepage,True
user_349,homepage,True
user_350,homepage,True
user_351,homepage,True
user_352,homepage,True
user_353,homepage,True
user_354,homepage,True
user_355,homepage,True
user_356,homepage,True
user_357,homepage,True
user_358,homepage,True
user_359,homepage,True
user_360,homepage,True
user_361,homepage,True
user_362,homepage,True
user_363,homepage,True
user_364,homepage,True
user_365,homepage,True
user_366,homepage,True
user_367,homepage,True
user_368,homepage,True
user_369,homepage,True
user_370,homepage,True
user_371,homepage,True
user_372,homepage,True
user_373,homepage,True
user_374,homepage,True
user_375,homepage,True
user_376,homepage,True
user_377,homepage,True
user_378,homepage,True
user_379,homepage,True
user_380,homepage,True
user_381,homepage,True
user_382,homepage,True
user_383,homepage,True
user_384,homepage,True
user_385,homepage,True
user_386,homepage,True
user_387,homepage,True
user_388,homepage,True
user_389,homepage,True
user_390,homepage,True
user_391,homepage,True
user_392,homepage,True
user_393,homepage,True
user_394,homepage,True
user_395,homepage,True
user_396,homepage,True
user_397,homepage,True
user_398,homepage,True
user_399,homepage,True
user_400,homepage,True
user_401,homepage,True
user_402,homepage,True
user_403,homepage,True
